question,answer,description,type
All cats are animals. Some animals are wild. Some cats are wild. All animals are cats.,Neither follows,The given statements do not imply that some cats are wild. Also  not all animals are cats.,Logical
A man introduces a woman as the daughter of the only son of his father. How is the woman related to the man?,Daughter,The 'only son of his father' refers to the man himself. His daughter would be the woman mentioned.,Logical
If MANGO is coded as ONAGM  how is BREAD written in that code?,DAERB,The word is reversed in order. Following this pattern  'BREAD' when reversed becomes 'DAERB'.,Logical
Find the missing number: 3  6  11  18  ?,27,The pattern follows (n² - 2): 2² - 2 = 3  3² - 2 = 6  4² - 2 = 11  5² - 2 = 18  6² - 2 = 27.,Logical
A man walks 5m west  then 10m south  then 5m east. How far is he from the starting point?,10m,The man moves 5m west and then 5m east  canceling out the horizontal movement. He is left with a vertical movement of 10m south.,Logical
Some birds are parrots. All parrots are intelligent. Some birds are intelligent. All intelligent beings are parrots.,Only conclusion 1 follows,Some birds being parrots and all parrots being intelligent means that some birds are intelligent.,Logical
Find the odd one out: Circle  Triangle  Square  Sphere,Sphere,All other shapes are 2D  while a sphere is 3D.,Logical
Find the next term: A  C  F  J  ?,O,The pattern follows increasing letter gaps: A → C (skip 1)  C → F (skip 2)  F → J (skip 3)  J → O (skip 4).,Logical
A clock is set right at 6 AM. It loses 10 minutes every hour. What will be the actual time when the clock shows 3 PM?,5:00 PM,Every hour  the clock loses 10 minutes  so in 9 hours  it loses 90 minutes (1.5 hours).,Logical
P  Q  R  S  and T are sitting in a row. Q is to the left of R but right of P. S is to the right of R. Who is sitting in the middle?,R,The correct order is P - Q - R - S - T  where R is in the middle.,Logical
Statement: 'If you work hard  you will succeed.' Assumptions: 1. Hard work leads to success. 2. Success is guaranteed.,Only assumption 1 follows,The statement suggests that hard work contributes to success but does not guarantee it.,Logical
A girl says  'The father of my mother is the only son of my grandfather.' How is the girl's father related to her grandfather?,Son,'Only son of my grandfather' refers to the girl's father.,Logical
If DOG is coded as EPI  how is CAT coded?,DBU,Each letter is shifted one step forward in the alphabet.,Logical
Find the missing number: 4  9  16  25  ?,36,The pattern follows n²: 2² = 4  3² = 9  4² = 16  5² = 25  6² = 36.,Logical
